Time(Iteration)	Random,LinUCB,Arm-Con,ConUCB,HUCB
0	-10,39.77514925619736,39.77514925619736,39.77514925619736,39.181646990911986
10	-100,376.66526576174476,353.34296391782664,365.8804729068423,363.7526553095429
20	-100,340.02923748002496,326.68271981337625,315.76964313060637,318.4494050007526
30	-100,328.2868730744523,323.97748788852635,271.5754951153486,266.0880571283468
40	-100,321.9094818595544,322.78776483208105,217.0781746696032,212.91810393417157
50	-100,319.16412447328634,318.6182822842504,172.9012960333948,164.69792965098938
60	-100,318.99718639856627,317.40288523203725,162.93912213597002,125.43206903315647
70	-100,318.966705162732,316.2262310304852,160.88671386776178,90.74547102441501
80	-100,318.9301685600432,316.0170379667133,159.64037676672072,67.01993392138841
90	-100,318.92788695185516,313.48913295080837,159.0361257398062,53.63597356643172
100	-100,318.90686489315436,312.61962378579994,158.73609819030492,44.647059854272015
110	-100,318.9041426343116,312.5974710106538,158.4601750816729,38.86579310268335
120	-100,318.8953210929431,312.59083362278017,158.38196503994004,32.94466312225081
130	-100,318.89868999954496,312.58311144020814,158.3873077367511,29.070600475428755
140	-100,318.907940346978,312.5830279861403,157.23514416011392,27.23213600972623
150	-100,318.8863040667962,312.3421686307224,156.45187455534014,24.972045398630744
160	-100,318.8706242362997,312.1856547106656,156.4113330210695,23.460627403701817
170	-100,318.86731856017514,312.1239486339087,156.40208603120715,22.265755660773085
180	-100,317.93819893172633,312.1214215889439,156.39218794106674,21.07822473384056
190	-100,314.3920939905382,312.1381786007985,156.44137579798505,20.413418538336987
200	-100,312.66489044329956,312.1334133986303,155.75463804027072,19.23484326002166
210	-100,312.65445842563884,312.1333088666078,155.56498223008273,18.247853898967836
220	-100,310.22882172297494,312.1326021369485,155.44581787797958,17.215700798541807
230	-100,309.3966984910371,312.13510822823486,153.91882972138916,16.723845094532976
240	-100,309.38189122845966,312.125249785105,153.20192410059576,15.89847037303085
250	-100,309.3758002770419,312.12071921645145,153.15408133992497,15.361074281573003
260	-100,309.3751289500079,312.1199614858701,153.1657251061178,15.139749069673115
270	-100,309.372888367671,312.1183436662701,153.15723983746432,14.551669878494556
280	-100,309.3700134861288,312.11613645406,153.1459829470313,14.114863174397955
290	-100,309.3729680002486,312.1185916748017,153.1500392670182,13.634683275834876
300	-100,309.37525923385385,312.1204516421574,153.104528386774,13.377143505974502
310	-100,309.37236467705384,312.08153039817194,153.0972102380328,12.973774397994852
320	-100,309.36619422462076,312.06021024275935,153.0735237777211,12.34602427373008
330	-100,309.36007240361636,312.0558505199373,153.05845840980615,11.734616341935105
340	-100,309.35838752770377,312.05454946234835,153.05484111613512,11.378667392845284
350	-100,309.3578564005984,312.0533829243687,153.0436022820318,11.227151769935595
360	-100,309.3599252327991,312.0535678928848,152.65788698860732,10.951125105824305
370	-100,309.3520769121115,312.04749962490996,152.64301355100946,10.636294310976323
380	-100,309.35301073553893,312.04799063958814,152.6459187350875,10.340112855648682
390	-100,309.35599405766385,312.0501471785396,152.64611757813748,10.13201942752482
400	-100,309.3541685581941,312.0487525224985,152.63904800522977,9.891610245771728
410	-100,309.3520521529737,312.04439645111546,152.62522040363928,9.740334245713049
420	-100,309.35217549852956,312.0437250891107,152.6286186292597,9.63224325112293
430	-100,309.35052543423706,312.0426015804764,152.62697420386937,9.571975820801724
440	-100,309.3463085359184,312.03976946217335,152.61680439130998,9.576677669040825
450	-100,309.34254408578386,312.0372409138532,152.60788130408693,9.483458322953995
460	-100,309.34094041652685,312.0361513114872,152.60432664362125,9.323489400246213
470	-100,309.33969722363054,312.03530204844765,152.6016759679211,9.186008226455785
480	-100,309.10915928621614,312.0348418054265,152.59620119206488,9.109060204173886
490	-100,308.69258687121874,312.03474395832103,152.57953819575525,9.204212959719039
500	-100,308.52668622895516,312.03542460988945,152.578011847341,9.037171381736888
510	-100,308.5278707833004,312.03586677293396,152.58066722852294,8.946545053672395
520	-100,308.52680391934814,312.0372733495026,152.54642868092063,8.877430221873206
530	-100,308.5183266221787,312.0380161084276,152.45893171799742,8.80674378543531
540	-100,308.513128529798,312.0351008647244,152.44899209996265,8.623258994216426
550	-100,308.512376056722,312.03465603437587,152.44780273336121,8.504688556467443
560	-100,308.51068032819506,312.03369403856385,152.44481361284915,8.391898234240914
570	-100,308.5098696765164,312.0331085902442,152.43262014711848,8.261344078518189
580	-100,308.51034895720767,312.03320224730027,152.41837351852953,8.155877098445742
590	-100,308.50807768854486,312.03275524596717,152.40692162883528,8.176433777581368
600	-100,308.5058302414761,312.0317732726214,152.40338749731364,8.169983387020075
610	-100,308.5036930637973,312.03182818520173,152.403788487184,8.157822740616306
620	-100,308.4959987578108,312.0305612578098,152.39930178070387,8.01697070495457
630	-100,308.4901098605255,312.0273041279037,152.38769585900602,7.935102840498599
640	-100,308.48701009044606,312.02558125777824,152.38184082123894,7.884336969843043
650	-100,308.4895094519157,312.0269204160513,152.38702828246994,7.778324376994837
660	-100,308.48986668857424,312.0268951148883,152.38787748663916,7.581676116223265
670	-100,308.37118572197903,312.0101275370074,152.39359299958264,7.607578000820211
680	-100,308.30911744212824,312.00700527242964,152.38649999184062,7.559230833918127
690	-100,308.222103068227,311.52226422743166,152.38528647056287,7.434582392392178
700	-100,307.46370580574705,311.2871312769114,152.38158159441278,7.3151425978054485
710	-100,307.4661801281648,311.25840586270033,152.37472710707763,7.261016451341264
720	-100,307.467628036507,311.25941200290043,152.37767388082918,7.178965866226867
730	-100,307.4688303741392,311.2602686282829,152.37746688098326,7.131678032078921
740	-100,307.4685203236355,311.25883995480075,152.37331187494144,7.201697089963486
750	-100,307.4690946321065,311.25804951205146,152.36996757445053,7.164806427773479
760	-100,307.4669272267791,311.25726220095703,152.36950894692276,7.143874346117744
770	-100,307.46466305616207,311.2552018185926,152.36523180145733,7.076593559871383
780	-100,307.46367490195047,311.2544775642767,152.36342432798415,7.039873538196388
790	-100,307.46335718382204,311.25423371656467,152.3629219402984,6.953434611690007
800	-100,307.46294161598934,311.2539199643553,152.36223084888007,6.880202128998836
810	-100,307.45858861016575,311.2545048932212,151.09292862770735,6.919745007750604
820	-100,307.44871988158604,311.2525084409478,150.7697564644457,6.886798664095305
830	-100,307.4481709073488,311.25210696687,150.76879259199046,6.818415410316744
840	-100,307.4473525034039,311.2515157048024,150.76729629163395,6.69725567375705
850	-100,307.44545521702275,311.2501638510116,150.76366528925067,6.688226694176375
860	-100,307.4445705253629,311.2495259883556,150.76205291838588,6.645864294710907
870	-100,307.38397934710565,311.2481657813275,150.75842301556187,6.624147320434397
880	-100,307.1478853503779,311.24721889530144,150.75595974720468,6.5593329374679135
890	-100,307.14643488664797,311.2462543341818,150.75345561111087,6.484011234669778
900	-100,307.14791852549206,311.24715468452496,150.7619768662229,6.438218295787196
910	-100,307.14736279233915,311.2467156836532,150.76680461195568,6.398553105702736
920	-100,307.14676047141245,311.246307951171,150.76585387685162,6.340642176368896
930	-100,307.1477683114869,311.24713473099956,150.76802980038426,6.313554368054909
940	-100,307.1472780017342,311.2468000077097,150.76727680870235,6.208652807409238
950	-100,307.146618349304,311.2463552830723,150.7662215657083,6.188516165864469
960	-100,307.1473089490451,311.24679886329073,150.76758233785984,6.101172054984058
970	-100,307.1451924888807,311.2453960987637,150.76290367326584,6.099948764591729
980	-100,307.143301109034,311.2441416299109,150.75905285645118,6.010911560365923
990	-100,307.14358423355867,311.24431681570684,150.7597013713695,5.949453452583237
