Time,ConUCB,HUCB,ConUCB,HUCB,ConUCB,HUCB
10,15.47652939,5.85058986,8.00522157,3.42675473,10.60434974,11.92923031
20,61.40290568,71.87536777,55.34250973,72.52760671,63.9493143,79.96423019
30,99.94654056,105.7251417,107.9074402,103.0460833,111.318736,131.3430685
40,125.0003776,124.7220805,143.0943999,129.9004733,145.5324391,147.6630382
50,156.655821,135.9177477,159.7045727,130.326286,168.7997848,148.2579397
60,172.1166947,147.1589109,168.059159,130.5391923,174.8725342,158.45117
70,187.2469396,151.4703907,212.3155486,130.7520987,204.7819827,158.45117
80,188.4186953,155.6715663,213.0670477,131.1779113,212.8552479,158.45117
90,188.4186953,160.4328105,214.8254575,131.1779113,212.8552479,166.9407681
100,188.4186953,164.7372882,214.8254575,131.3908177,212.8552479,166.9407681
110,188.4186953,164.7372882,214.8254575,131.603724,212.8552479,166.9407681
120,188.78971,164.7372882,214.8254575,131.8166304,212.8552479,166.9407681
130,188.78971,164.7372882,214.8254575,132.0295367,218.5851231,171.9286851
140,188.78971,165.1083029,214.8254575,132.2424431,218.5851231,171.9286851
150,188.78971,165.1083029,214.8254575,139.1400011,218.5851231,171.9286851
160,205.4887595,165.1083029,225.8297549,139.1400011,235.7193678,176.49692
170,205.4887595,165.1083029,225.8297549,139.3529075,235.7193678,176.49692
180,205.4887595,165.1083029,225.8297549,139.3529075,235.7193678,176.49692
190,205.4887595,165.1083029,225.8297549,139.5658138,235.7193678,176.49692
200,205.4887595,165.1083029,225.8297549,139.5658138,235.7193678,182.1205759
210,205.4887595,165.1083029,225.8297549,147.1814323,235.7193678,182.1205759
220,205.4887595,165.1083029,225.8297549,147.1814323,235.7193678,182.1205759
230,205.4887595,169.8843379,225.8297549,147.1814323,236.4925972,182.1205759
240,205.4887595,169.8843379,225.8297549,147.1814323,236.4925972,182.1205759
250,205.4887595,169.8843379,225.8297549,147.1814323,236.4925972,182.1205759
260,205.4887595,169.8843379,225.8297549,147.1814323,236.4925972,182.1205759
270,205.4887595,169.8843379,225.8297549,147.1814323,236.4925972,182.1205759
280,205.4887595,170.2553526,225.8297549,147.1814323,236.4925972,182.1205759
290,205.4887595,170.2553526,225.8297549,147.1814323,236.4925972,182.1205759
300,205.8597741,170.2553526,225.8297549,147.1814323,236.4925972,182.1205759
