Time,LinUCB,ConUCB,HUCB,Time,LinUCB,ConUCB,HUCB
0,1520.125964,1520.125964,1567.017057,10,551.6707084,435.6494474,436.1898407
10,11283.41888,12443.63149,12485.11865,20,1025.541404,599.047976,842.816844
20,16308.00484,21733.15173,19336.95021,30,1257.43262,772.891977,1161.12903
30,19013.67864,29284.23196,23005.65991,40,1353.429566,1018.747168,1338.391357
40,20759.38298,34376.76028,24901.74634,50,1385.134108,1342.709844,1406.194068
50,22188.0419,36229.66184,26119.80566,60,1392.004198,1426.516667,1442.467845
60,23547.99992,41244.49517,26975.12721,70,1400.692548,1501.153473,1460.493136
70,24821.07444,41512.96044,27650.19585,80,1403.798864,1515.763418,1448.516208
80,26063.0858,41635.32626,28445.03377,90,1407.01022,1522.148142,1486.433108
90,27272.9836,41693.84484,28860.70269,100,1409.602851,1522.119193,1488.633953
100,28456.95509,41752.65291,29254.36316,110,1413.088687,1522.383497,1490.380967
110,29606.06822,41808.81794,29630.55349,120,1413.67203,1522.935408,1489.869323
120,30749.34792,41859.46386,30011.86026,130,1413.217222,1523.432776,1497.798401
130,31897.1757,41905.1361,30313.87625,140,1415.818425,1524.827654,1502.088442
140,33018.99145,41936.85956,30572.99183,150,1416.235677,1491.556623,1506.50688
150,34136.63468,45301.29333,30787.92303,160,1419.81725,1495.183851,1502.658148
160,35218.46218,45629.45482,31041.34155,170,1420.421784,1525.39473,1512.675215
170,36294.24434,45655.50752,31194.5894,180,1421.595693,1526.3647,1513.626838
180,37358.28741,45671.86052,31338.32102,190,1421.964008,1526.771055,1512.089777
190,38418.64733,45684.14997,31497.42325,200,1416.035266,1526.836472,1514.526953
200,39538.29467,45695.78525,31632.15372,210,1419.13059,1527.138258,1513.05105
210,40626.98877,45704.40267,31781.64322,220,1421.909835,1527.311871,1513.112882
220,41687.89042,45711.28396,31930.5144,230,1423.182011,1527.273206,1518.721005
230,42736.07031,45718.5519,32023.30435,240,1424.425047,1526.716587,1517.764515
240,43771.81984,45731.38603,32125.6592,250,1424.587913,1526.810966,1516.615042
250,44805.94071,45743.27637,32239.50878,260,1424.807187,1527.358952,1523.39477
260,45837.86884,45749.68685,32285.56108,270,1424.374989,1527.256231,1515.368964
270,46874.11895,45757.12454,32411.87144,280,1420.857113,1527.161476,1519.050644
280,47945.54782,45765.50978,32501.365,290,1425.988486,1526.849026,1518.316883
290,48965.66296,45777.01952,32598.19617,,,,
